City,Latitude,Longitude,Humidity,Cloudiness,Windspeed,Temperature_Max
castro,-24.7911,-50.0119,40,40,5.88,74.64
lebu,-37.6167,-73.65,97,100,10.71,54.1
new norfolk,-42.7826,147.0587,82,99,2.21,46.9
saint-philippe,-21.3585,55.7679,82,32,13.4,67.21
richards bay,-28.783,32.0377,75,0,12.55,69.04
cururupu,-1.8283,-44.8683,47,55,5.14,90.34
vaini,-21.2,-175.2,72,100,14.38,73.44
busselton,-33.65,115.3333,80,32,17.02,59.14
coquimbo,-29.9533,-71.3436,80,20,4.99,58.66
port elizabeth,-33.918,25.5701,45,76,1.99,63.32
avarua,-21.2078,-159.775,79,95,12.48,74.37
rantepao,-2.9701,119.8978,97,77,1.21,67.41
hermanus,-34.4187,19.2345,66,90,11.7,58.8
ancud,-41.8697,-73.8203,94,100,11.27,40.23
cape town,-33.9258,18.4232,76,100,5.01,62.38
monkey bay,-14.0728,34.9201,52,79,4.0,76.39
arraial do cabo,-22.9661,-42.0278,75,2,13.76,73.09
poum,-20.2333,164.0167,90,37,19.66,77.04
kavieng,-2.5744,150.7967,79,34,9.75,81.64
saint-pierre,-21.3393,55.4781,75,18,10.31,70.92
sao joao da barra,-21.6403,-41.0511,73,2,12.57,74.16
atuona,-9.8,-139.0333,75,2,15.14,76.77
touros,-5.1989,-35.4608,68,90,14.74,82.51
tarauaca,-8.1614,-70.7656,41,16,2.51,91.27
puerto ayora,-0.7393,-90.3518,85,55,8.01,71.55
bredasdorp,-34.5322,20.0403,62,100,7.0,55.58
loandjili,-4.7561,11.8578,75,74,8.88,72.37
bluff,-46.6,168.3333,83,94,7.31,35.8
gamba,-2.65,10.0,74,89,11.21,73.51
kaitangata,-46.2817,169.8464,91,94,5.37,40.42
east london,-33.0153,27.9116,53,7,9.78,70.45
rikitea,-23.1203,-134.9692,76,98,7.96,72.5
ushuaia,-54.8,-68.3,81,97,16.64,35.44
chipinge,-20.1883,32.6236,55,21,5.19,59.61
hobart,-42.8794,147.3294,90,100,6.96,47.26
kruisfontein,-34.0033,24.7314,70,100,4.97,59.88
esperance,-33.8667,121.9,77,84,12.62,53.38
souillac,-20.5167,57.5167,79,30,15.68,70.27
hithadhoo,-0.6,73.0833,74,100,7.14,81.05
punta arenas,-53.15,-70.9167,70,19,20.89,37.11
mataura,-46.1927,168.8643,98,14,3.04,35.47
port alfred,-33.5906,26.891,77,36,6.04,61.18
rio grande,-32.035,-52.0986,98,100,4.65,65.95
port lincoln,-34.7333,135.8667,66,82,6.35,52.81
randfontein,-26.1844,27.702,39,63,3.67,58.6
aripuana,-9.1667,-60.6333,28,33,4.43,94.33
nanyamba,-10.6833,39.8333,67,31,8.88,70.81
presidencia roque saenz pena,-26.7852,-60.4388,26,26,11.45,88.97
ballina,-28.8667,153.5667,97,99,23.94,60.01
codrington,-38.2667,141.9667,88,100,3.94,51.73
isangel,-19.55,169.2667,87,100,12.08,75.99
koumac,-20.5667,164.2833,89,44,11.18,75.58
mount gambier,-37.8333,140.7667,96,100,9.28,51.1
carnarvon,-24.8667,113.6333,64,0,17.25,64.74
necochea,-38.5473,-58.7368,64,100,3.62,51.12
grand gaube,-20.0064,57.6608,72,56,8.99,71.38
chuy,-33.6971,-53.4616,82,100,3.24,59.63
rocha,-34.4833,-54.3333,74,89,3.4,61.12
lufilufi,-13.8745,-171.5986,78,52,10.94,79.43
tautira,-17.7333,-149.15,79,50,11.39,75.79
flinders,-34.5833,150.8552,91,68,5.99,52.18
nelson bay,-32.7167,152.15,78,85,11.01,62.01
alofi,-19.0595,-169.9187,78,48,5.86,75.79
paso de los toros,-32.8167,-56.5167,86,100,4.45,66.0
faanui,-16.4833,-151.75,73,12,9.71,77.61
sarandi,-23.4436,-51.8739,29,1,11.16,82.27
kaeo,-35.1,173.7833,92,83,8.08,47.32
alenquer,-1.9417,-54.7383,47,22,5.32,91.51
te anau,-45.4167,167.7167,95,60,2.26,31.8
nchelenge,-9.3451,28.734,50,24,4.68,74.08
ambovombe,-25.1667,46.0833,77,0,11.61,68.0
diamantino,-14.4086,-56.4461,21,33,8.01,93.2
cidreira,-30.1811,-50.2056,81,93,3.27,68.95
