City,Latitude,Longitude,Humidity
castro,-24.7911,-50.0119,40
mulege,26.8833,-111.9833,39
kirksville,40.1948,-92.5833,58
puntarenas,9.9763,-84.8384,94
lebu,-37.6167,-73.65,97
new norfolk,-42.7826,147.0587,82
qaanaaq,77.484,-69.3632,85
saint-philippe,-21.3585,55.7679,82
longyearbyen,78.2186,15.6401,92
richards bay,-28.783,32.0377,75
cururupu,-1.8283,-44.8683,47
vaini,-21.2,-175.2,72
the pas,53.8251,-101.2541,77
lompoc,34.6391,-120.4579,100
nikolskoye,59.7035,30.7861,44
busselton,-33.65,115.3333,80
kargil,34.5667,76.1,40
fuengirola,36.54,-4.6247,60
tera,14.0078,0.7531,31
khatanga,71.9667,102.5,82
fairbanks,64.8378,-147.7164,90
poltavka,54.3663,71.7632,64
goshogawara,40.8044,140.4414,99
coquimbo,-29.9533,-71.3436,80
omsukchan,62.5333,155.8,63
port elizabeth,-33.918,25.5701,45
avarua,-21.2078,-159.775,79
rantepao,-2.9701,119.8978,97
hermanus,-34.4187,19.2345,66
bubaque,11.2833,-15.8333,88
ancud,-41.8697,-73.8203,94
albany,42.6001,-73.9662,45
cape town,-33.9258,18.4232,76
den helder,52.9599,4.7593,67
yellowknife,62.456,-114.3525,59
monkey bay,-14.0728,34.9201,52
arraial do cabo,-22.9661,-42.0278,75
poum,-20.2333,164.0167,90
kavieng,-2.5744,150.7967,79
margate,51.3813,1.3862,72
avera,33.194,-82.5271,62
jeremie,18.65,-74.1167,64
saint-pierre,-21.3393,55.4781,75
jamestown,42.097,-79.2353,69
sinnamary,5.3833,-52.95,71
sao joao da barra,-21.6403,-41.0511,73
atuona,-9.8,-139.0333,75
touros,-5.1989,-35.4608,68
hailar,49.2,119.7,76
tarauaca,-8.1614,-70.7656,41
puerto ayora,-0.7393,-90.3518,85
nome,64.5011,-165.4064,87
bredasdorp,-34.5322,20.0403,62
loandjili,-4.7561,11.8578,75
saskylakh,71.9167,114.0833,72
bluff,-46.6,168.3333,83
