City,Latitude,Longitude,Temperature_Max
castro,-24.7911,-50.0119,74.64
mulege,26.8833,-111.9833,93.63
kirksville,40.1948,-92.5833,83.57
puntarenas,9.9763,-84.8384,75.92
lebu,-37.6167,-73.65,54.1
new norfolk,-42.7826,147.0587,46.9
qaanaaq,77.484,-69.3632,42.3
saint-philippe,-21.3585,55.7679,67.21
longyearbyen,78.2186,15.6401,47.53
richards bay,-28.783,32.0377,69.04
cururupu,-1.8283,-44.8683,90.34
vaini,-21.2,-175.2,73.44
the pas,53.8251,-101.2541,59.02
lompoc,34.6391,-120.4579,69.93
nikolskoye,59.7035,30.7861,82.8
busselton,-33.65,115.3333,59.14
kargil,34.5667,76.1,68.94
fuengirola,36.54,-4.6247,87.85
tera,14.0078,0.7531,97.0
khatanga,71.9667,102.5,47.07
fairbanks,64.8378,-147.7164,52.61
poltavka,54.3663,71.7632,59.79
goshogawara,40.8044,140.4414,68.94
coquimbo,-29.9533,-71.3436,58.66
omsukchan,62.5333,155.8,44.47
port elizabeth,-33.918,25.5701,63.32
avarua,-21.2078,-159.775,74.37
rantepao,-2.9701,119.8978,67.41
hermanus,-34.4187,19.2345,58.8
bubaque,11.2833,-15.8333,77.86
ancud,-41.8697,-73.8203,40.23
albany,42.6001,-73.9662,90.79
cape town,-33.9258,18.4232,62.38
den helder,52.9599,4.7593,64.98
yellowknife,62.456,-114.3525,62.56
monkey bay,-14.0728,34.9201,76.39
arraial do cabo,-22.9661,-42.0278,73.09
poum,-20.2333,164.0167,77.04
kavieng,-2.5744,150.7967,81.64
margate,51.3813,1.3862,69.31
avera,33.194,-82.5271,83.55
jeremie,18.65,-74.1167,87.51
saint-pierre,-21.3393,55.4781,70.92
jamestown,42.097,-79.2353,81.95
sinnamary,5.3833,-52.95,83.14
sao joao da barra,-21.6403,-41.0511,74.16
atuona,-9.8,-139.0333,76.77
touros,-5.1989,-35.4608,82.51
hailar,49.2,119.7,66.88
tarauaca,-8.1614,-70.7656,91.27
puerto ayora,-0.7393,-90.3518,71.55
nome,64.5011,-165.4064,48.27
bredasdorp,-34.5322,20.0403,55.58
loandjili,-4.7561,11.8578,72.37
saskylakh,71.9167,114.0833,48.52
bluff,-46.6,168.3333,35.8
sabha,27.0377,14.4283,93.78
bilibino,68.0546,166.4372,34.32
khasan,42.4308,130.6434,65.68
gamba,-2.65,10.0,73.51
kaitangata,-46.2817,169.8464,40.42
severnyy,50.677,36.5532,61.32
east london,-33.0153,27.9116,70.45
clyde river,70.4692,-68.5914,52.93
rikitea,-23.1203,-134.9692,72.5
kabanjahe,3.1001,98.4908,63.54
khao yoi,13.2403,99.8243,76.91
barrow,71.2906,-156.7887,37.42
ushuaia,-54.8,-68.3,35.44
chipinge,-20.1883,32.6236,59.61
floro,61.5996,5.0328,56.93
hilo,19.7297,-155.09,74.28
hobart,-42.8794,147.3294,47.26
butaritari,3.0707,172.7902,81.03
zonguldak,41.25,31.8333,70.68
nantucket,41.2835,-70.0995,82.99
lebyazhye,55.2689,66.4947,61.48
grudziadz,53.4841,18.7537,84.0
hasaki,35.7333,140.8333,77.29
kruisfontein,-34.0033,24.7314,59.88
esperance,-33.8667,121.9,53.38
los llanos de aridane,28.6585,-17.9182,73.65
san cristobal,7.7669,-72.225,82.89
souillac,-20.5167,57.5167,70.27
georgetown,5.4112,100.3354,77.9
seymchan,62.8833,152.4333,47.14
leo,11.1,-2.1,87.75
iranshahr,27.2025,60.6848,96.01
piacenza,45.0468,9.6994,98.74
makokou,0.5738,12.8642,75.13
hithadhoo,-0.6,73.0833,81.05
kalmunai,7.4167,81.8167,82.9
punta arenas,-53.15,-70.9167,37.11
grindavik,63.8424,-22.4338,52.09
mataura,-46.1927,168.8643,35.47
ketchikan,55.3422,-131.6461,56.25
port alfred,-33.5906,26.891,61.18
rio grande,-32.035,-52.0986,65.95
tura,25.5198,90.2201,75.97
dindori,22.95,81.0833,76.64
port lincoln,-34.7333,135.8667,52.81
saint anthony,45.0205,-93.218,87.82
randfontein,-26.1844,27.702,58.6
aripuana,-9.1667,-60.6333,94.33
venice,27.0998,-82.4543,93.07
nanyamba,-10.6833,39.8333,70.81
santa marta,11.2408,-74.199,82.6
talnakh,69.4865,88.3972,64.76
sfantu gheorghe,45.8667,25.7833,90.93
presidencia roque saenz pena,-26.7852,-60.4388,88.97
ballina,-28.8667,153.5667,60.01
darhan,49.4867,105.9228,55.0
along,28.1667,94.7667,74.88
zhigansk,66.7697,123.3711,52.93
codrington,-38.2667,141.9667,51.73
isangel,-19.55,169.2667,75.99
koumac,-20.5667,164.2833,75.58
mount gambier,-37.8333,140.7667,51.1
carnarvon,-24.8667,113.6333,64.74
lamentin,16.271,-61.6312,87.01
lavrentiya,65.5833,-171.0,39.63
kattivakkam,13.2167,80.3167,85.06
kantilo,20.35,85.1833,79.63
hecun,36.5333,114.1111,67.57
necochea,-38.5473,-58.7368,51.12
wangqing,43.3218,129.7634,63.81
chapais,49.7834,-74.8492,71.31
eyl,7.9803,49.8164,78.12
nanortalik,60.1432,-45.2371,47.97
aswan,24.0934,32.907,102.13
grand gaube,-20.0064,57.6608,71.38
pevek,69.7008,170.3133,31.39
ocos,14.5094,-92.1933,81.54
chuy,-33.6971,-53.4616,59.63
klaksvik,62.2266,-6.589,51.87
dingle,10.9995,122.6711,77.27
tomatlan,19.9333,-105.25,87.42
vila franca do campo,37.7167,-25.4333,76.42
qujing,25.4833,103.7833,62.67
norman wells,65.282,-126.8329,68.11
jurado,7.1053,-77.7641,79.09
cherskiy,68.75,161.3,32.0
homer,59.6425,-151.5483,49.8
kirillov,59.863,38.3813,74.07
san patricio,28.017,-97.5169,91.18
torbay,47.6666,-52.7314,76.87
mikhaylovka,50.06,43.2379,68.7
chokurdakh,70.6333,147.9167,38.59
rocha,-34.4833,-54.3333,61.12
lufilufi,-13.8745,-171.5986,79.43
tautira,-17.7333,-149.15,75.79
srednekolymsk,67.45,153.6833,45.01
olafsvik,64.8945,-23.7142,52.93
flinders,-34.5833,150.8552,52.18
tuktoyaktuk,69.4541,-133.0374,55.78
nelson bay,-32.7167,152.15,62.01
kapaa,22.0752,-159.319,72.12
alofi,-19.0595,-169.9187,75.79
paso de los toros,-32.8167,-56.5167,66.0
ukiah,39.1502,-123.2078,79.05
sisimiut,66.9395,-53.6735,45.23
bethel,41.3712,-73.414,91.36
faanui,-16.4833,-151.75,77.61
yemelyanovo,56.1681,92.6767,58.28
yar-sale,66.8333,70.8333,45.68
sarandi,-23.4436,-51.8739,82.27
dalvik,65.9702,-18.5286,53.64
kaeo,-35.1,173.7833,47.32
narsaq,60.9167,-46.05,56.23
muirkirk,55.5227,-4.0655,62.87
kalach-na-donu,48.691,43.5264,65.71
zarinsk,53.7074,84.9493,57.67
alenquer,-1.9417,-54.7383,91.51
provideniya,64.3833,-173.3,40.8
sai buri,6.7013,101.6168,79.12
abatskoye,56.2875,70.4555,57.2
dikson,73.5069,80.5464,54.54
havelock,34.8791,-76.9013,86.05
ponta do sol,32.6667,-17.1,81.72
te anau,-45.4167,167.7167,31.8
nchelenge,-9.3451,28.734,74.08
ambovombe,-25.1667,46.0833,68.0
ribeira grande,38.5167,-28.7,73.99
mezen,65.8522,44.24,72.43
prince rupert,54.3161,-130.3201,57.56
beringovskiy,63.05,179.3167,49.86
wajima,37.4,136.9,74.39
progreso,21.2833,-89.6667,89.11
diamantino,-14.4086,-56.4461,93.2
verkhoyansk,67.5447,133.385,63.99
kavaratti,10.5669,72.642,81.18
arlit,18.7369,7.3853,106.11
cidreira,-30.1811,-50.2056,68.95
ngunguru,-35.6167,174.5,54.39
elliot,-31.3333,27.85,53.37
lovozero,68.005,35.0117,61.05
lodja,-3.4833,23.4333,89.01
mountain home,43.133,-115.6912,85.03
saint george,37.1041,-113.5841,93.79
shingu,33.7333,135.9833,73.94
mahebourg,-20.4081,57.7,71.26
shu,43.5983,73.7614,91.36
umba,66.6871,34.3429,67.82
pithiviers,48.1667,2.25,86.41
basco,20.4487,121.9702,85.95
tasiilaq,65.6145,-37.6368,40.77
pacific grove,36.6177,-121.9166,56.07
miri,4.4148,114.0089,78.24
brownwood,31.7093,-98.9912,89.96
awbari,26.5921,12.7805,94.64
stornoway,58.2093,-6.3865,60.93
cayenne,4.9333,-52.3333,86.09
merauke,-8.4667,140.3333,75.61
hamilton,39.1834,-84.5333,90.75
taclobo,12.3074,122.586,84.18
tonantins,-2.8731,-67.8022,77.74
bandarbeyla,9.4942,50.8122,77.9
antalaha,-14.9003,50.2788,68.11
burnie,-41.0667,145.9167,54.91
jalu,29.0331,21.5482,94.91
shimoda,34.6667,138.95,79.11
kloulklubed,7.0419,134.2556,83.3
samarai,-10.6167,150.6667,79.61
yazoo city,32.8551,-90.4056,86.7
yeniseysk,58.4497,92.1703,59.97
shirokiy,49.758,129.523,64.11
lagoa,39.05,-27.9833,72.52
bengkulu,-3.8004,102.2655,76.24
meulaboh,4.1363,96.1285,75.67
nkowakowa,-23.8878,30.2871,67.41
severo-kurilsk,50.6789,156.125,53.98
garwa,24.1833,83.8167,84.78
