City,Latitude,Longitude,Windspeed
castro,-24.7911,-50.0119,5.88
mulege,26.8833,-111.9833,0.65
kirksville,40.1948,-92.5833,4.0
puntarenas,9.9763,-84.8384,7.85
lebu,-37.6167,-73.65,10.71
new norfolk,-42.7826,147.0587,2.21
qaanaaq,77.484,-69.3632,11.59
saint-philippe,-21.3585,55.7679,13.4
longyearbyen,78.2186,15.6401,1.54
richards bay,-28.783,32.0377,12.55
cururupu,-1.8283,-44.8683,5.14
vaini,-21.2,-175.2,14.38
the pas,53.8251,-101.2541,5.75
lompoc,34.6391,-120.4579,8.01
nikolskoye,59.7035,30.7861,2.51
busselton,-33.65,115.3333,17.02
kargil,34.5667,76.1,9.13
fuengirola,36.54,-4.6247,6.62
tera,14.0078,0.7531,4.05
khatanga,71.9667,102.5,14.25
fairbanks,64.8378,-147.7164,1.01
poltavka,54.3663,71.7632,8.25
goshogawara,40.8044,140.4414,3.4
coquimbo,-29.9533,-71.3436,4.99
omsukchan,62.5333,155.8,3.65
port elizabeth,-33.918,25.5701,1.99
avarua,-21.2078,-159.775,12.48
rantepao,-2.9701,119.8978,1.21
hermanus,-34.4187,19.2345,11.7
bubaque,11.2833,-15.8333,19.84
ancud,-41.8697,-73.8203,11.27
albany,42.6001,-73.9662,1.01
cape town,-33.9258,18.4232,5.01
den helder,52.9599,4.7593,8.01
yellowknife,62.456,-114.3525,4.0
monkey bay,-14.0728,34.9201,4.0
arraial do cabo,-22.9661,-42.0278,13.76
poum,-20.2333,164.0167,19.66
kavieng,-2.5744,150.7967,9.75
margate,51.3813,1.3862,3.0
avera,33.194,-82.5271,7.0
jeremie,18.65,-74.1167,8.14
saint-pierre,-21.3393,55.4781,10.31
jamestown,42.097,-79.2353,5.99
sinnamary,5.3833,-52.95,6.2
sao joao da barra,-21.6403,-41.0511,12.57
atuona,-9.8,-139.0333,15.14
touros,-5.1989,-35.4608,14.74
hailar,49.2,119.7,10.02
tarauaca,-8.1614,-70.7656,2.51
puerto ayora,-0.7393,-90.3518,8.01
nome,64.5011,-165.4064,8.05
bredasdorp,-34.5322,20.0403,7.0
loandjili,-4.7561,11.8578,8.88
saskylakh,71.9167,114.0833,6.69
bluff,-46.6,168.3333,7.31
sabha,27.0377,14.4283,10.74
bilibino,68.0546,166.4372,5.97
khasan,42.4308,130.6434,3.96
gamba,-2.65,10.0,11.21
kaitangata,-46.2817,169.8464,5.37
severnyy,50.677,36.5532,13.47
east london,-33.0153,27.9116,9.78
clyde river,70.4692,-68.5914,5.37
rikitea,-23.1203,-134.9692,7.96
kabanjahe,3.1001,98.4908,0.65
khao yoi,13.2403,99.8243,3.98
barrow,71.2906,-156.7887,10.36
ushuaia,-54.8,-68.3,16.64
chipinge,-20.1883,32.6236,5.19
floro,61.5996,5.0328,29.19
hilo,19.7297,-155.09,4.61
hobart,-42.8794,147.3294,6.96
butaritari,3.0707,172.7902,10.18
zonguldak,41.25,31.8333,4.43
